Kendari;Poasia;Wundubatu;Aman
Konawe;Wawotobi;Anaosu;Aman
Konawe;Wawotobi;Laloato;Aman
Konawe;Wawotobi;Lawuka;Aman
Konawe;Wawotobi;Manggialo;Aman
Konawe;Wawotobi;Tonganggura;Aman
Konawe;Wawotobi;Ulu Lamokuni;Aman
Konawe;Wawotobi;Wowa Nario;Aman
Konawe;Besulutu;Watumolamba;Aman
Konawe;Wawotobi;Karandu;Aman
Konawe;Wawotobi;Nario Indah;Aman
Konawe;Soropia;Wonua Roda;Aman
Konawe;Soropia;Sama Jaya;Aman
Konawe;Soropia;Pamata Jaya;Aman
Konawe;Soropia;Lalanu;Aman
Konawe;Tongauna;Olua Ao;Aman
Konawe;Tongauna;Puundopi;Aman
Konawe;Uepai;Uepai;Aman
Konawe;Wonggeduku Barat;Puumbuta;Aman
Buton;Pasarwajo;Kahulungaya;Aman
Buton;Pasarwajo;Wagola;Aman
Buton;Siotapina;Lambusango Timur;Aman
Wakatobi;Wangi Wangi Selatan;Liya OneMaelangka;Aman
Wakatobi;Wangi Wangi Selatan;Liya mawi;Aman
Wakatobi;Wangi Wangi Selatan;Mola Nelayan Bhakti;Aman
Wakatobi;Wangi Wangi Selatan;Wisata Kolo;Aman
Muna;Lohia;Napabhale;Aman
Muna;Lohia;Wabintinggi;Aman
